user-id	text	topic	thread-id	time	post-id	replyTo	replyBy
Ef_torres_	@MariaCespedesc @PCaterianoB @pcmperu Este twit es solo aplaudido por fanáticos que creen que en el Congreso se nec… https://t.co/RTx5hP8xPD	Cuestion-de-confianza	3	2020-08-05 18:29:48	1291078972294467593		1291078972294467593
yethcin	@Ef_torres_ @MariaCespedesc @PCaterianoB @pcmperu Al final todos somos ignorantes; gente con altos grados de estudio, es solo de nombre, mejor deben tener un título a nombre #Ratero....  FREPAP siempre con la humildad 💪aquí también también hay bien preparada.	Cuestion-de-confianza	3	2020-08-06 14:51:00	1291386298121560068	1291078972294467593	1291386298121560068
marquez_rudy	@Ef_torres_ @MariaCespedesc @PCaterianoB @pcmperu Nombra una persona honesta y preparada que te parece la Srta Alva por ejemplo preparada pero para dar millones a la confiep y a la gente bonos mentirosos q nunca llegan y si llegan es s/ 6 diaros por estos 4 meses y el respeto es universal no fanatismo y Perú es un país laico	Cuestion-de-confianza	3	2020-08-06 13:10:37	1291361035228782592	1291078972294467593	1291361035228782592
Hetro03042077	@Ef_torres_ @MariaCespedesc @PCaterianoB @pcmperu Honesto como tu sugar daddy Cateriano o Richard Swing	Cuestion-de-confianza	3	2020-08-06 00:43:03	1291172902704996354	1291078972294467593	1291172902704996354
PATGT2018	"@Ef_torres_ @MariaCespedesc @PCaterianoB @pcmperu Como Swing? Quien crees que dio la ""LUZ VERDE "" para hablar en términos Caterianesco, para que Contraten a esa escoria? TRIBI o su juguetito de Palacio, la que remodeló la cocina por 2 millones de soles. Lee antes de opinar. despilfarro y tarjetazo a toda máquina"	Cuestion-de-confianza	3	2020-08-06 00:02:34	1291162715512279043	1291078972294467593	1291162715512279043
ChristianLupHu	@Ef_torres_ @MariaCespedesc @PCaterianoB @pcmperu No se trata de aplaudir lo que medianamente es lo correcto. No permitir que siga la deshonestidad qué hay en el sector minero, es parte de lo mínimo que puede hacer un funcionario cuando es la 1ra vez que la lucha. Finalmente, la minería no es una maldición. Sus caras si.	Cuestion-de-confianza	3	2020-08-05 21:33:13	1291125131025305603	1291078972294467593	1291125131025305603
Mishel22649295	"@Ef_torres_ @MariaCespedesc @PCaterianoB @pcmperu Es cierto, creer en el ""populismo"" es utópico. Un estado necesita gente preparada,que si la hay, solo que no investigan un poco, ya que esa gente no suele tener sustento para hacer grandes campañas para las votaciones."	Cuestion-de-confianza	3	2020-08-05 20:44:08	1291112777587675136	1291078972294467593	1291112777587675136
EzardMartinez	"@Ef_torres_ @MariaCespedesc @PCaterianoB @pcmperu Prefiero un honesto, no preparado.
A un asaltante, ratero, corrupto bien preparado."	Cuestion-de-confianza	3	2020-08-05 19:01:56	1291087056966504453	1291078972294467593	1291087056966504453
Ef_torres_	@MariaCespedesc @PCaterianoB @pcmperu Ya te estás  expresando como candidato. Tranquilo. Ya el tiempo juzgará.	Cuestion-de-confianza	3	2020-08-05 18:49:58	1291084046689280000	1291078972294467593	1291084046689280000
chepatronic	"@Ef_torres_ @MariaCespedesc @PCaterianoB @pcmperu Te esperamos el 2021 en el congreso. 
Pero vas ya?..... sonso !"	Cuestion-de-confianza	3	2020-08-05 18:37:05	1291080806102962186	1291078972294467593	1291080806102962186
