user-id	text	topic	thread-id	time	post-id	reply-to	reply-by
MariaCespedesc	We believe in responsible mining investment without abuse and we defend the interests of the population, promoting the a… https://t.co/H3R3F0giQT	Cuestion-de-confianza	4	2020-08-05 16:16:56	1		2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113
MoncadaPozo	@MariaCespedesc I do not share the words of the Lord, I wish they are in the next government. But please don&#39;t support Fujiaprism. For Peru it is time for Union. We are in a Pandemic.	Cuestion-de-confianza	4	2020-08-06 15:37:09	2	1.0	
Charo_lozano	@MariaCespedesc @PCaterianoB That same speech is said by all politicians and look at how the country is	Cuestion-de-confianza	4	2020-08-06 15:03:28	3	1.0	
irvin_cd	@MariaCespedesc @PCaterianoB María Teresa, faced with the crisis that Peruvians are experiencing today, Mining is one of our LIFEGUARDS for the economy. And opposing the way you and your party do, hurts and harms our country that wants to get out of chaos.	Cuestion-de-confianza	4	2020-08-06 13:43:05	4	1.0	
MximoGonzalesG2	@MariaCespedesc @PCaterianoB Congratulations Messrs. Congressmen. It would be appropriate to review the state advertising and electronic voting that this government uses and will use to the detriment of all Peruvians.	Cuestion-de-confianza	4	2020-08-06 11:39:21	5	1.0	
Karen_713190	@MariaCespedesc @PCaterianoB I vote for you, but you are manipulable people who are not up to your decisions, they harm the country, what a real shame.	Cuestion-de-confianza	4	2020-08-06 05:20:57	6	1.0	
RubnCanales	@MariaCespedesc @PCaterianoB Impeccable response, from congresswoman Maria Céspedes, to the low blows of former Premier Cateriano, emissary of the power groups. Our solidarity with #Frepap ...	Cuestion-de-confianza	4	2020-08-06 02:57:19	7	1.0	
SrkTavo89	@MariaCespedesc @PCaterianoB Hopefully that responsible mining investment is respected, agriculture should be supported, yes, but also responsible and legal mining since legality brings job stability to workers.	Cuestion-de-confianza	4	2020-08-06 02:42:45	8	1.0	
SANGREBRAVA1	@MariaCespedesc @PCaterianoB BUT NOW THE PEOPLE ALREADY KNOW THEM ... I REMEMBER THAT BIBLE PASSAGE THAT SAYS: &quot;BY THEIR FRUIT YOU WILL KNOW THEM&quot; AND ALSO &quot;BEWARE OF WOLVES DISGUISED AS LAMB.&quot; I WAS DISAPPOINTED BY FREPAP&#39;S BROTHERS WHO FORGOT ABOUT THE PEOPLE WHO ARE DYING IN THE PANDEMIC ...	Cuestion-de-confianza	4	2020-08-06 02:37:53	9	1.0	
Claussil	@MariaCespedesc @PCaterianoB https://t.co/TfF1BBHbKB Protesters in Espinar are attacking the pumping station, please stop, it is what supplies us with water for the communities of Tintaya and Coccareta. I hope you were able to read, I understand the protests but this is vandalism.	Cuestion-de-confianza	4	2020-08-06 01:56:38	10	1.0	
