Topic	Thread ID	post-id	User ID	Time	Post Content	replyTo	replyBy
Cuestion-de-confianza	5	1	FrepapBancada	2020-08-05 22:08:05	The Frepap bench expresses its rejection of the discriminatory statements of the citizen Pedro Cateriano. Nin… https://t.co/Nrm6DJwegp		
Cuestion-de-confianza	5	2	gvilner	2020-08-06 13:48:03	@FrepapBancada However, not giving confidence to the Cabinet showed that they only supported individual interests and did not think about the country. Needless to say of other POPULIST decisions so far in this Congress.		1
Cuestion-de-confianza	5	3	Corrupcinnunca1	2020-08-06 13:47:18	@FrepapBancada El Apra in the role of &quot;Judas&quot; https://t.co/99vOeMy3mX		1
Cuestion-de-confianza	5	4	SamuelSalasPe	2020-08-06 13:13:26	@FrepapBancada Please! Don&#39;t be the victims now. They cannot deny the obvious: they are easy to play pieces in the political game.		1
Cuestion-de-confianza	5	5	CALSOVA	2020-08-06 13:09:48	@FrepapBancada What use is the statement? Did they think of the national interest in a sui generis conjuncture? The country is not governed by groups or parties. It is a whole and the national interest prevails. The parts are resolved after the general. They have already failed.		1
Cuestion-de-confianza	5	6	glorialuzuriag1	2020-08-06 11:22:13	@FrepapBancada @meiermq Pedro Cateriano is an extremist fanatic of the great groups of economic power and his bible is the Constitution of 1993 and also expresses an absolute contempt for the life, health and economy of the Peruvian people and their authentic political representatives		1
Cuestion-de-confianza	5	7	JC96162681	2020-08-06 11:05:35	@FrepapBancada @meiermq Very good, the 🐟 has done what thousands of Peruvians wanted. The wolf &quot;Cateriano&quot; disguised as a sheep tried to deceive us.		1
Cuestion-de-confianza	5	8	RonaldHidalgoS	2020-08-06 08:18:18	@FrepapBancada Getting victimized doesn&#39;t help. @MerinoDeLama asks @MartinVizcarraC to choose ministers with the right experience; however it does not evaluate congressmen. I see that only Martha Chávez knows what to do. That she uses it to cover up her circle is another matter. The Frepap only has fans		1
Cuestion-de-confianza	5	9	omar051277	2020-08-06 07:57:37	@FrepapBancada You will change the presence of the congress and remove that ugly image that it had for decades .... We just need to support us #SueltaMiPlataMalditaAFP # PL5674 https://t.co/31w7dZ4lmN		1
Cuestion-de-confianza	5	10	MarioLeonGZ	2020-08-06 05:28:15	@FrepapBancada I listened to your spokesperson and I congratulate you for your intervention. I confirm that they are a true bench and that they work with and for the People. Parasitic politicians and ballast journalists say otherwise. The true people are with YOU and keep working. Regards.		1
Cuestion-de-confianza	5	11	Karen_713190	2020-08-06 05:25:38	@FrepapBancada @MariaCespedesc I vote for you, do not let yourself be manipulated by the personal interests of some, religion is one thing and the direction of the country is another, do not make us regret having voted for frepap reactions for God		1
Cuestion-de-confianza	5	12	Beto79	2020-08-06 05:19:10	@FrepapBancada @MariaCespedesc self-conscious		1
Cuestion-de-confianza	5	13	cisnerosgomez23	2020-08-06 04:57:08	@FrepapBancada Now they are the resentful, they are like those congressmen from the other parties the same		1
Cuestion-de-confianza	5	14	lilyrodri14	2020-08-06 04:52:19	@FrepapBancada @ ivycomecan12 discriminatory? but if it is true that they are not prepared	19	1
